Valuador,Muestra,NombreProducto,CodigoProducto
V1,3,control15,420
V1,6,Vinos13Desalcoh,266
V1,4,vino13MixDesalcoh,510
V1,1,Vinoverde13,360
V1,2,vino13coop,827
V1,5,vino13MixCampo,489
V2,6,Vinos13Desalcoh,266
V2,1,Vinoverde13,360
V2,3,control15,420
V2,5,vino13MixCampo,489
V2,4,vino13MixDesalcoh,510
V2,2,vino13coop,827
V3,1,Vinoverde13,360
V3,5,vino13MixCampo,489
V3,6,Vinos13Desalcoh,266
V3,2,vino13coop,827
V3,3,control15,420
V3,4,vino13MixDesalcoh,510
V4,5,vino13MixCampo,489
V4,2,vino13coop,827
V4,1,Vinoverde13,360
V4,4,vino13MixDesalcoh,510
V4,6,Vinos13Desalcoh,266
V4,3,control15,420
V5,2,vino13coop,827
V5,4,vino13MixDesalcoh,510
V5,5,vino13MixCampo,489
V5,3,control15,420
V5,1,Vinoverde13,360
V5,6,Vinos13Desalcoh,266
V6,4,vino13MixDesalcoh,510
V6,3,control15,420
V6,2,vino13coop,827
V6,6,Vinos13Desalcoh,266
V6,5,vino13MixCampo,489
V6,1,Vinoverde13,360
V7,3,control15,420
V7,2,vino13coop,827
V7,5,vino13MixCampo,489
V7,6,Vinos13Desalcoh,266
V7,1,Vinoverde13,360
V7,4,vino13MixDesalcoh,510
V8,2,vino13coop,827
V8,6,Vinos13Desalcoh,266
V8,3,control15,420
V8,4,vino13MixDesalcoh,510
V8,5,vino13MixCampo,489
V8,1,Vinoverde13,360
V9,6,Vinos13Desalcoh,266
V9,4,vino13MixDesalcoh,510
V9,2,vino13coop,827
V9,1,Vinoverde13,360
V9,3,control15,420
V9,5,vino13MixCampo,489
V10,4,vino13MixDesalcoh,510
V10,1,Vinoverde13,360
V10,6,Vinos13Desalcoh,266
V10,5,vino13MixCampo,489
V10,2,vino13coop,827
V10,3,control15,420
V11,1,Vinoverde13,360
V11,5,vino13MixCampo,489
V11,4,vino13MixDesalcoh,510
V11,3,control15,420
V11,6,Vinos13Desalcoh,266
V11,2,vino13coop,827
V12,5,vino13MixCampo,489
V12,3,control15,420
V12,1,Vinoverde13,360
V12,2,vino13coop,827
V12,4,vino13MixDesalcoh,510
V12,6,Vinos13Desalcoh,266
V13,2,vino13coop,827
V13,4,vino13MixDesalcoh,510
V13,6,Vinos13Desalcoh,266
V13,5,vino13MixCampo,489
V13,3,control15,420
V13,1,Vinoverde13,360
V14,4,vino13MixDesalcoh,510
V14,5,vino13MixCampo,489
V14,2,vino13coop,827
V14,1,Vinoverde13,360
V14,6,Vinos13Desalcoh,266
V14,3,control15,420
V15,5,vino13MixCampo,489
V15,1,Vinoverde13,360
V15,4,vino13MixDesalcoh,510
V15,3,control15,420
V15,2,vino13coop,827
V15,6,Vinos13Desalcoh,266
V16,1,Vinoverde13,360
V16,3,control15,420
V16,5,vino13MixCampo,489
V16,6,Vinos13Desalcoh,266
V16,4,vino13MixDesalcoh,510
V16,2,vino13coop,827
V17,3,control15,420
V17,6,Vinos13Desalcoh,266
V17,1,Vinoverde13,360
V17,2,vino13coop,827
V17,5,vino13MixCampo,489
V17,4,vino13MixDesalcoh,510
V18,6,Vinos13Desalcoh,266
V18,2,vino13coop,827
V18,3,control15,420
V18,4,vino13MixDesalcoh,510
V18,1,Vinoverde13,360
V18,5,vino13MixCampo,489
V19,1,Vinoverde13,360
V19,6,Vinos13Desalcoh,266
V19,4,vino13MixDesalcoh,510
V19,3,control15,420
V19,5,vino13MixCampo,489
V19,2,vino13coop,827
V20,6,Vinos13Desalcoh,266
V20,3,control15,420
V20,1,Vinoverde13,360
V20,2,vino13coop,827
V20,4,vino13MixDesalcoh,510
V20,5,vino13MixCampo,489
V21,3,control15,420
V21,2,vino13coop,827
V21,6,Vinos13Desalcoh,266
V21,5,vino13MixCampo,489
V21,1,Vinoverde13,360
V21,4,vino13MixDesalcoh,510
V22,2,vino13coop,827
V22,5,vino13MixCampo,489
V22,3,control15,420
V22,4,vino13MixDesalcoh,510
V22,6,Vinos13Desalcoh,266
V22,1,Vinoverde13,360
V23,5,vino13MixCampo,489
V23,4,vino13MixDesalcoh,510
V23,2,vino13coop,827
V23,1,Vinoverde13,360
V23,3,control15,420
V23,6,Vinos13Desalcoh,266
V24,4,vino13MixDesalcoh,510
V24,1,Vinoverde13,360
V24,5,vino13MixCampo,489
V24,6,Vinos13Desalcoh,266
V24,2,vino13coop,827
V24,3,control15,420
V25,3,control15,420
V25,6,Vinos13Desalcoh,266
V25,4,vino13MixDesalcoh,510
V25,1,Vinoverde13,360
V25,2,vino13coop,827
V25,5,vino13MixCampo,489
V26,6,Vinos13Desalcoh,266
V26,1,Vinoverde13,360
V26,3,control15,420
V26,5,vino13MixCampo,489
V26,4,vino13MixDesalcoh,510
V26,2,vino13coop,827
V27,1,Vinoverde13,360
V27,5,vino13MixCampo,489
V27,6,Vinos13Desalcoh,266
V27,2,vino13coop,827
V27,3,control15,420
V27,4,vino13MixDesalcoh,510
V28,5,vino13MixCampo,489
V28,2,vino13coop,827
V28,1,Vinoverde13,360
V28,4,vino13MixDesalcoh,510
V28,6,Vinos13Desalcoh,266
V28,3,control15,420
V29,2,vino13coop,827
V29,4,vino13MixDesalcoh,510
V29,5,vino13MixCampo,489
V29,3,control15,420
V29,1,Vinoverde13,360
V29,6,Vinos13Desalcoh,266
V30,4,vino13MixDesalcoh,510
V30,3,control15,420
V30,2,vino13coop,827
V30,6,Vinos13Desalcoh,266
V30,5,vino13MixCampo,489
V30,1,Vinoverde13,360
V31,2,vino13coop,827
V31,4,vino13MixDesalcoh,510
V31,5,vino13MixCampo,489
V31,3,control15,420
V31,1,Vinoverde13,360
V31,6,Vinos13Desalcoh,266
V32,4,vino13MixDesalcoh,510
V32,3,control15,420
V32,2,vino13coop,827
V32,6,Vinos13Desalcoh,266
V32,5,vino13MixCampo,489
V32,1,Vinoverde13,360
