"","variable_columns","Indice"
"Intensidad de color","Intensidad de color",51.5873015873016
"Matiz violeta","Matiz violeta",44.4444444444444
"Matiz rojo","Matiz rojo",47.6190476190476
"Matiz oxidado","Matiz oxidado",50.7936507936508
"Intensidad aromatica","Intensidad aromatica",44.4444444444444
"Chocolate","Chocolate",67.4603174603175
"Cafe","Cafe",72.2222222222222
"Tierra","Tierra",66.6666666666667
"Tabaco","Tabaco",60.3174603174603
"Mermelada","Mermelada",57.9365079365079
"eucalyptus","eucalyptus",75.3968253968254
"Herbáceo","Herbáceo",53.968253968254
"Aceituna","Aceituna",69.0476190476191
"Vainilla","Vainilla",70.6349206349206
"Acético","Acético",67.4603174603175
"Miel","Miel",82.5396825396825
"Brocoli","Brocoli",69.8412698412698
"Compota","Compota",69.0476190476191
"Humo","Humo",67.4603174603175
"Oxidado","Oxidado",70.6349206349206
"Alcohol","Alcohol",55.5555555555556
"Trapo Mojado","Trapo Mojado",62.6984126984127
"Acidez","Acidez",50
"Amargo","Amargo",49.2063492063492
"Dulce","Dulce",58.7301587301587
"Astringencia","Astringencia",32.5396825396825
"Volumen en boca","Volumen en boca",43.6507936507937
