"","Valuador","IndiceReproducibilidad"
"1","V10",0.364197530864198
"2","V11",0.351851851851852
"3","V12",0.308641975308642
"4","V13",0.54320987654321
"5","V14",0.469135802469136
"6","V15",0.555555555555556
"7","V17",0.277777777777778
"8","V18",0.259259259259259
"9","V2",0.320987654320988
"10","V21",0.302469135802469
"11","V22",0.580246913580247
"12","V23",0.592592592592593
"13","V25",0.41358024691358
"14","V26",0.506172839506173
"15","V27",0.549382716049383
"16","V28",0.432098765432099
"17","V3",0.444444444444444
"18","V6",0.333333333333333
"19","V7",0.351851851851852
"20","V8",0.209876543209877
"21","V9",0.462962962962963
